id;ferme_libelle;photo;photo_content_type
1;who carrier outlandish;../fake-data/blob/hipster.png;image/png
2;ginger joyfully excitable;../fake-data/blob/hipster.png;image/png
3;with;../fake-data/blob/hipster.png;image/png
4;deny;../fake-data/blob/hipster.png;image/png
5;whether useless a;../fake-data/blob/hipster.png;image/png
6;especially;../fake-data/blob/hipster.png;image/png
7;duh guard recapitulation;../fake-data/blob/hipster.png;image/png
8;athwart clearly plus;../fake-data/blob/hipster.png;image/png
9;carbonize near;../fake-data/blob/hipster.png;image/png
10;ha gadzooks yahoo;../fake-data/blob/hipster.png;image/png
