id;parcelle_libelle;photo;photo_content_type
1;huzzah complication under;../fake-data/blob/hipster.png;image/png
2;ew same ick;../fake-data/blob/hipster.png;image/png
3;gee;../fake-data/blob/hipster.png;image/png
4;decontaminate;../fake-data/blob/hipster.png;image/png
5;privilege oh past;../fake-data/blob/hipster.png;image/png
6;limping undock moment;../fake-data/blob/hipster.png;image/png
7;glaring overdraw revert;../fake-data/blob/hipster.png;image/png
8;boo gadzooks ah;../fake-data/blob/hipster.png;image/png
9;sometimes;../fake-data/blob/hipster.png;image/png
10;rustle;../fake-data/blob/hipster.png;image/png
