id;plante_libelle;racine;photo;photo_content_type
1;why unless;why until;../fake-data/blob/hipster.png;image/png
2;sizzling;now that;../fake-data/blob/hipster.png;image/png
3;solemnly;evidence;../fake-data/blob/hipster.png;image/png
4;monopolise metallic;happily yippee wasteful;../fake-data/blob/hipster.png;image/png
5;damp um;intently above staid;../fake-data/blob/hipster.png;image/png
6;annually mmm hm;shameless decline unlike;../fake-data/blob/hipster.png;image/png
7;er anenst vice;fry;../fake-data/blob/hipster.png;image/png
8;because since conversion;including ratchet monsoon;../fake-data/blob/hipster.png;image/png
9;yahoo er;mummify as;../fake-data/blob/hipster.png;image/png
10;air;hmph;../fake-data/blob/hipster.png;image/png
